="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)"
="ENVI:";="EPSI";="EPSI";="EPSI";="HLT";="HLT";="HLT";="EPI";="EPI";="EPI"
="main";="";="";="";="";="";="";="";="";=""
="1._at";="4.522***";="-1.301**";="-0.755";="0.241***";="0.217***";="0.170***";="0.405***";="0.460***";="0.325***"
="";="(0.529)";="(0.661)";="(0.651)";="(0.0156)";="(0.0170)";="(0.0179)";="(0.0245)";="(0.0330)";="(0.0336)"
="2._at";="4.779***";="-1.065*";="-0.409";="0.251***";="0.228***";="0.184***";="0.419***";="0.477***";="0.347***"
="";="(0.448)";="(0.581)";="(0.573)";="(0.0131)";="(0.0143)";="(0.0153)";="(0.0207)";="(0.0295)";="(0.0302)"
="3._at";="5.028***";="-0.861";="-0.141";="0.260***";="0.237***";="0.197***";="0.431***";="0.493***";="0.368***"
="";="(0.383)";="(0.525)";="(0.526)";="(0.0111)";="(0.0123)";="(0.0134)";="(0.0178)";="(0.0270)";="(0.0277)"
="4._at";="5.224***";="-0.689";="0.0969";="0.268***";="0.246***";="0.209***";="0.443***";="0.506***";="0.385***"
="";="(0.346)";="(0.491)";="(0.497)";="(0.00989)";="(0.0111)";="(0.0121)";="(0.0160)";="(0.0255)";="(0.0262)"
="5._at";="5.385***";="-0.556";="0.285";="0.275***";="0.254***";="0.219***";="0.453***";="0.518***";="0.401***"
="";="(0.328)";="(0.474)";="(0.484)";="(0.00952)";="(0.0106)";="(0.0116)";="(0.0155)";="(0.0249)";="(0.0255)"
="6._at";="5.534***";="-0.429";="0.461";="0.281***";="0.260***";="0.228***";="0.461***";="0.528***";="0.414***"
="";="(0.322)";="(0.467)";="(0.480)";="(0.00968)";="(0.0106)";="(0.0115)";="(0.0158)";="(0.0249)";="(0.0254)"
="7._at";="5.688***";="-0.301";="0.645";="0.287***";="0.266***";="0.237***";="0.469***";="0.538***";="0.428***"
="";="(0.330)";="(0.469)";="(0.485)";="(0.0103)";="(0.0111)";="(0.0119)";="(0.0167)";="(0.0253)";="(0.0257)"
="8._at";="5.843***";="-0.173";="0.823*";="0.293***";="0.273***";="0.246***";="0.479***";="0.549***";="0.442***"
="";="(0.349)";="(0.480)";="(0.498)";="(0.0114)";="(0.0120)";="(0.0127)";="(0.0184)";="(0.0263)";="(0.0265)"
="9._at";="6.105***";="0.0533";="1.142**";="0.303***";="0.284***";="0.261***";="0.493***";="0.566***";="0.465***"
="";="(0.404)";="(0.520)";="(0.541)";="(0.0137)";="(0.0141)";="(0.0147)";="(0.0218)";="(0.0287)";="(0.0288)"
="10._at";="6.441***";="0.341";="1.551**";="0.317***";="0.299***";="0.283***";="0.513***";="0.590***";="0.498***"
="";="(0.502)";="(0.601)";="(0.623)";="(0.0176)";="(0.0182)";="(0.0185)";="(0.0280)";="(0.0338)";="(0.0336)"
