="Dependent Variable: Intrafirm Import Share"
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)"
="";="";="";="";="";="(0.129)";="";="";="";="(0.0813)";="";="";="";="(0.0815)";=""
="Intermediation X Rule of Law";="";="";="";="";="-0.233";="-0.271";="";="";="-0.441***";="-0.404***";="";="";="-0.438***";="-0.403***"
="";="";="";="";="";="(0.173)";="(0.172)";="";="";="(0.117)";="(0.119)";="";="";="(0.118)";="(0.119)"
="Constant";="0.406***";="0.292***";="0.469***";="0.469***";="0.558***";="0.635**";="0.294***";="0.326***";="0.396***";="0.686***";="0.293***";="0.327***";="0.396***";="0.764***"
="";="(0.0382)";="(0.0699)";="(0.0725)";="(0.0725)";="(0.113)";="(0.318)";="(0.0706)";="(0.0685)";="(0.0985)";="(0.182)";="(0.0706)";="(0.0686)";="(0.0986)";="(0.189)"
="Country-Year FE";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes"
="Industry-Year FE";="No";="No";="No";="No";="No";="Yes";="No";="No";="No";="Yes";="No";="No";="No";="Yes"
="IO2007 Industry Clusters";="215";="213";="210";="210";="209";="210";="213";="213";="209";="210";="213";="213";="209";="210"
="Adj. R2";="0.161";="0.163";="0.148";="0.148";="0.184";="0.248";="0.165";="0.167";="0.192";="0.236";="0.165";="0.166";="0.192";="0.236"
="Observations";="135439";="134835";="36397";="36397";="36379";="36397";="132336";="115379";="104118";="104145";="132584";="115379";="104118";="104145"
