="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)"
="ENVI:";="EPSI";="EPSI";="EPSI";="HLT";="HLT";="HLT";="EPI";="EPI";="EPI"
="log ECSP";="";="";="";="";="";="";="";="";=""
="1._at";="-0.0427***";="-0.0409***";="-0.0154";="-0.0368**";="-0.0390***";="-0.0208*";="-0.0348**";="-0.0363**";="-0.0178"
="";="(0.0129)";="(0.0135)";="(0.0128)";="(0.0153)";="(0.0136)";="(0.0118)";="(0.0154)";="(0.0143)";="(0.0122)"
="2._at";="-0.0414***";="-0.0397***";="-0.0141";="-0.0349**";="-0.0372***";="-0.0180";="-0.0335**";="-0.0349**";="-0.0159"
="";="(0.0127)";="(0.0132)";="(0.0125)";="(0.0146)";="(0.0131)";="(0.0113)";="(0.0148)";="(0.0138)";="(0.0118)"
="3._at";="-0.0326***";="-0.0317***";="-0.00503";="-0.0319**";="-0.0330***";="-0.0127";="-0.0312**";="-0.0320**";="-0.0118"
="";="(0.0114)";="(0.0117)";="(0.0107)";="(0.0135)";="(0.0122)";="(0.0105)";="(0.0137)";="(0.0129)";="(0.0110)"
="4._at";="-0.0269**";="-0.0266**";="0.000723";="-0.0289**";="-0.0292**";="-0.00787";="-0.0293**";="-0.0296**";="-0.00842"
="";="(0.0112)";="(0.0113)";="(0.0102)";="(0.0126)";="(0.0117)";="(0.00999)";="(0.0130)";="(0.0123)";="(0.0104)"
="5._at";="-0.0238**";="-0.0237**";="0.00396";="-0.0274**";="-0.0276**";="-0.00549";="-0.0279**";="-0.0277**";="-0.00562"
="";="(0.0113)";="(0.0113)";="(0.0101)";="(0.0121)";="(0.0115)";="(0.00980)";="(0.0125)";="(0.0118)";="(0.0100)"
="6._at";="-0.0212*";="-0.0214*";="0.00652";="-0.0260**";="-0.0251**";="-0.00254";="-0.0263**";="-0.0256**";="-0.00307"
="";="(0.0115)";="(0.0114)";="(0.0102)";="(0.0118)";="(0.0112)";="(0.00964)";="(0.0120)";="(0.0114)";="(0.00978)"
="7._at";="-0.0193*";="-0.0197*";="0.00852";="-0.0240**";="-0.0228**";="0.00116";="-0.0230**";="-0.0206*";="0.00449"
="";="(0.0117)";="(0.0116)";="(0.0103)";="(0.0114)";="(0.0111)";="(0.00957)";="(0.0111)";="(0.0109)";="(0.00948)"
="8._at";="-0.0171";="-0.0177";="0.0108";="-0.0204*";="-0.0152";="0.0116";="-0.0194*";="-0.0171";="0.00952"
="";="(0.0119)";="(0.0119)";="(0.0105)";="(0.0109)";="(0.0113)";="(0.0101)";="(0.0106)";="(0.0109)";="(0.00971)"
="9._at";="-0.0145";="-0.0154";="0.0134";="-0.0158";="-0.0129";="0.0145";="-0.0175*";="-0.0148";="0.0126"
="";="(0.0123)";="(0.0122)";="(0.0109)";="(0.0108)";="(0.0116)";="(0.0105)";="(0.0106)";="(0.0110)";="(0.0100)"
="10._at";="-0.0128";="-0.0138";="0.0151";="-0.0141";="-0.0112";="0.0166";="-0.0155";="-0.0127";="0.0149"
="";="(0.0126)";="(0.0125)";="(0.0112)";="(0.0110)";="(0.0118)";="(0.0107)";="(0.0107)";="(0.0113)";="(0.0103)"
