="Dependent Variable: Intrafirm Import Share"
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)"
="Contractibility X Rule of Law";="";="";="";="0.0440";="0.0333";="0.0329";="";="-0.0410";="-0.0376";="-0.0425"
="";="";="";="";="(0.0629)";="(0.0621)";="(0.0612)";="";="(0.0438)";="(0.0440)";="(0.0448)"
="Dispersion";="";="";="";="";="0.0578**";="";="";="";="0.0627***";=""
="";="";="";="";="";="(0.0268)";="";="";="";="(0.0211)";=""
="1(sigma>median)=0 X DUse_TUse";="";="";="";="";="-0.118***";="";="";="";="-0.126***";=""
="";="";="";="";="";="(0.0411)";="";="";="";="(0.0325)";=""
="1(sigma>median)=1 X DUse_TUse";="";="";="";="";="-0.101**";="";="";="";="-0.0827***";=""
="";="";="";="";="";="(0.0403)";="";="";="";="(0.0309)";=""
="1(sigma>median)=1";="";="";="";="";="-0.0136";="";="";="";="-0.0361";=""
="";="";="";="";="";="(0.0334)";="";="";="";="(0.0262)";=""
="External Finance Dependence";="";="";="";="";="-0.00636";="";="";="";="-0.00361";=""
="";="";="";="";="";="(0.0223)";="";="";="";="(0.0152)";=""
="Asset Tangibility";="";="";="";="";="-0.306***";="";="";="";="-0.222**";=""
="";="";="";="";="";="(0.110)";="";="";="";="(0.0951)";=""
="External Finance Dependence X Private Credit / GDP";="";="";="";="";="0.000193";="0.000184";="";="";="0.000183**";="0.000213***"
="";="";="";="";="";="(0.000123)";="(0.000124)";="";="";="(0.0000773)";="(0.0000796)"
="Asset Tangibility X Private Credit / GDP";="";="";="";="";="0.00126**";="0.00131**";="";="";="0.000343";="0.000566"
="";="";="";="";="";="(0.000590)";="(0.000613)";="";="";="(0.000504)";="(0.000490)"
="Sales Volatility";="";="";="";="";="0.0903";="";="";="";="0.0936";=""
="";="";="";="";="";="(0.297)";="";="";="";="(0.233)";=""
="Sales Volatility X Labor Market Flexibility";="";="";="";="";="-0.204";="-0.235";="";="";="-0.118";="-0.132"
="";="";="";="";="";="(0.380)";="(0.377)";="";="";="(0.269)";="(0.251)"
="Intermediation";="";="";="";="";="-0.0697";="";="";="";="0.0697";=""
="";="";="";="";="";="(0.121)";="";="";="";="(0.0784)";=""
="Intermediation X Rule of Law";="";="";="";="";="-0.302*";="-0.326**";="";="";="-0.447***";="-0.414***"
="";="";="";="";="";="(0.167)";="(0.165)";="";="";="(0.118)";="(0.119)"
="Constant";="0.260***";="0.144*";="0.306***";="0.307***";="0.475***";="1.227**";="0.147*";="0.185**";="0.306***";="0.842***"
="";="(0.0510)";="(0.0824)";="(0.0813)";="(0.0813)";="(0.111)";="(0.536)";="(0.0831)";="(0.0798)";="(0.0990)";="(0.298)"
="Country-Year FE";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes"
="Industry-Year FE";="No";="No";="No";="No";="No";="Yes";="No";="No";="No";="Yes"
="IO2007 Industry Clusters";="214";="212";="210";="210";="209";="210";="212";="212";="209";="210"
="Adj. R2";="0.167";="0.169";="0.161";="0.161";="0.189";="0.249";="0.170";="0.173";="0.195";="0.236"
="Observations";="134811";="134114";="36148";="36148";="36130";="36148";="131616";="114692";="103501";="103528"
