="Dependent Variable: Intrafirm Import Share"
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)"
="Intensity Definition: Total Sales, Environmental Index:";="-";="-";="EPSI";="EPSI";="EPSI";="EPSI";="HLT";="HLT";="HLT";="HLT"
="log ECSP";="";="-0.0246**";="-0.0457***";="-0.0433***";="-0.0246*";="";="-0.0384**";="-0.0417***";="-0.0301**";=""
="";="";="(0.0119)";="(0.0141)";="(0.0145)";="(0.0141)";="";="(0.0173)";="(0.0154)";="(0.0132)";=""
="log ECSP X ENVI";="";="";="0.996**";="0.893**";="1.043**";="1.218***";="";="";="";=""
="";="";="";="(0.431)";="(0.443)";="(0.435)";="(0.441)";="";="";="";=""
="log ECSP X ENVI";="";="";="";="";="";="";="0.0261";="0.0331**";="0.0467***";="0.0566***"
="";="";="";="";="";="";="";="(0.0167)";="(0.0162)";="(0.0156)";="(0.0149)"
="log R&D Intensity";="0.0202***";="0.0201***";="0.0240***";="0.0240***";="0.00892**";="";="0.0205***";="0.0214***";="0.00957***";=""
="";="(0.00402)";="(0.00397)";="(0.00453)";="(0.00453)";="(0.00392)";="";="(0.00397)";="(0.00399)";="(0.00326)";=""
="log Skill Intensity";="0.00902";="0.0139";="0.0176";="0.00975";="0.00699";="";="0.0131";="-0.0317";="-0.0216";=""
="";="(0.0136)";="(0.0131)";="(0.0161)";="(0.0541)";="(0.0540)";="";="(0.0131)";="(0.0340)";="(0.0324)";=""
="log Other Machinery Intensity";="0.0333***";="0.0435***";="0.0627***";="0.134";="0.147";="";="0.0437***";="-0.0189";="0.0333";=""
="";="(0.0101)";="(0.0101)";="(0.0141)";="(0.101)";="(0.100)";="";="(0.0102)";="(0.0502)";="(0.0521)";=""
="log Building Intensity";="-0.00968";="-0.00875";="-0.0113";="-0.0937";="-0.0830";="";="-0.00864";="-0.0282";="-0.0334";=""
="";="(0.00590)";="(0.00595)";="(0.00711)";="(0.0678)";="(0.0651)";="";="(0.00598)";="(0.0373)";="(0.0356)";=""
="log Auto Intensity";="-0.0240***";="-0.0224***";="-0.0344***";="-0.0811";="-0.0918*";="";="-0.0222***";="-0.00314";="-0.0277";=""
="";="(0.00489)";="(0.00479)";="(0.00651)";="(0.0500)";="(0.0471)";="";="(0.00481)";="(0.0243)";="(0.0264)";=""
="log Computer Intensity";="-0.00695";="-0.0116";="-0.00393";="-0.0286";="-0.0234";="";="-0.0118";="0.0102";="-0.00445";=""
="";="(0.00749)";="(0.00770)";="(0.0107)";="(0.0726)";="(0.0728)";="";="(0.00771)";="(0.0404)";="(0.0422)";=""
="Contractibility";="-0.0682***";="-0.0551***";="-0.0775***";="-0.109**";="-0.104**";="";="-0.0568***";="-0.0347";="-0.0366";=""
="";="(0.0200)";="(0.0191)";="(0.0238)";="(0.0440)";="(0.0449)";="";="(0.0192)";="(0.0291)";="(0.0306)";=""
="log Skill Intensity X log Skill Abundance";="";="";="";="0.00340";="0.00228";="0.00747";="";="0.0204";="0.0137";="0.0165"
="";="";="";="";="(0.0219)";="(0.0219)";="(0.0219)";="";="(0.0127)";="(0.0127)";="(0.0118)"
="log Other Machinery Intensity X log Capital Abundance";="";="";="";="-0.00582";="-0.00903";="-0.00894";="";="0.00538";="-0.000512";="-0.00106"
="";="";="";="";="(0.00817)";="(0.00806)";="(0.00787)";="";="(0.00415)";="(0.00433)";="(0.00455)"
="log Building Intensity X log Capital Abundance";="";="";="";="0.00669";="0.00645";="0.00605";="";="0.00163";="0.00254";="0.00303"
="";="";="";="";="(0.00557)";="(0.00529)";="(0.00535)";="";="(0.00316)";="(0.00301)";="(0.00298)"
="log Auto Intensity X log Capital Abundance";="";="";="";="0.00379";="0.00569";="0.00526";="";="-0.00171";="0.00130";="0.00102"
="";="";="";="";="(0.00415)";="(0.00387)";="(0.00386)";="";="(0.00212)";="(0.00227)";="(0.00219)"
="log Computer Intensity X log Capital Abundance";="";="";="";="0.00200";="0.00145";="0.00110";="";="-0.00154";="-0.000721";="-0.00104"
="";="";="";="";="(0.00590)";="(0.00594)";="(0.00594)";="";="(0.00330)";="(0.00348)";="(0.00314)"
