="Dependent Variable: Intrafirm Import Share"
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)"
="1(sigma>median)=1";="";="-0.0163";="-0.0327";="-0.0327";="";="-0.0147";="-0.0359";="-0.0359";="";="-0.0146";="-0.0353";="-0.0354"
="";="";="(0.0374)";="(0.0280)";="(0.0280)";="";="(0.0358)";="(0.0279)";="(0.0279)";="";="(0.0362)";="(0.0281)";="(0.0280)"
="log Skill Intensity X log Skill Abundance";="";="0.0320";="0.0259**";="0.0259**";="";="0.0204";="0.0210";="0.0211";="";="0.0221";="0.0193";="0.0191"
="";="";="(0.0234)";="(0.0129)";="(0.0128)";="";="(0.0237)";="(0.0130)";="(0.0130)";="";="(0.0235)";="(0.0130)";="(0.0130)"
="log Other Machinery Intensity X log Capital Abundance";="";="-0.00430";="0.00482";="0.00499";="";="-0.00960";="0.00179";="0.00206";="";="-0.00901";="0.00125";="0.00167"
="";="";="(0.00943)";="(0.00484)";="(0.00485)";="";="(0.00886)";="(0.00442)";="(0.00447)";="";="(0.00874)";="(0.00432)";="(0.00435)"
="log Building Intensity X log Capital Abundance";="";="0.00592";="0.00248";="0.00249";="";="0.00812";="0.00232";="0.00232";="";="0.00880";="0.00221";="0.00219"
="";="";="(0.00578)";="(0.00323)";="(0.00323)";="";="(0.00550)";="(0.00305)";="(0.00305)";="";="(0.00549)";="(0.00302)";="(0.00303)"
="log Auto Intensity X log Capital Abundance";="";="0.00128";="-0.00163";="-0.00146";="";="0.00374";="0.00122";="0.00128";="";="0.00293";="0.000646";="0.000803"
="";="";="(0.00444)";="(0.00243)";="(0.00240)";="";="(0.00441)";="(0.00246)";="(0.00246)";="";="(0.00431)";="(0.00243)";="(0.00243)"
="log Computer Intensity X log Capital Abundance";="";="0.00713";="0.00227";="0.00199";="";="0.00446";="0.000997";="0.000720";="";="0.00379";="0.00188";="0.00152"
="";="";="(0.00634)";="(0.00355)";="(0.00357)";="";="(0.00609)";="(0.00351)";="(0.00353)";="";="(0.00617)";="(0.00348)";="(0.00351)"
="External Finance Dependence";="";="-0.00990";="-0.00136";="-0.00154";="";="-0.0108";="-0.000349";="-0.000597";="";="-0.0131";="0.000676";="0.000128"
="";="";="(0.0255)";="(0.0168)";="(0.0168)";="";="(0.0252)";="(0.0175)";="(0.0175)";="";="(0.0257)";="(0.0177)";="(0.0177)"
="Asset Tangibility";="";="-0.265**";="-0.165*";="-0.168*";="";="-0.305***";="-0.213**";="-0.216**";="";="-0.320***";="-0.220**";="-0.224**"
="";="";="(0.110)";="(0.0958)";="(0.0955)";="";="(0.112)";="(0.0958)";="(0.0954)";="";="(0.113)";="(0.0959)";="(0.0957)"
="External Finance Dependence X Private Credit / GDP";="";="0.000206";="0.000172**";="0.000174**";="";="0.000203";="0.000155*";="0.000158*";="";="0.000203";="0.000141";="0.000147"
="";="";="(0.000150)";="(0.0000841)";="(0.0000841)";="";="(0.000145)";="(0.0000853)";="(0.0000856)";="";="(0.000150)";="(0.0000893)";="(0.0000893)"
="Asset Tangibility X Private Credit / GDP";="";="0.00108*";="0.000152";="0.000194";="";="0.00114*";="0.000198";="0.000239";="";="0.00117*";="0.000191";="0.000249"
="";="";="(0.000618)";="(0.000508)";="(0.000506)";="";="(0.000604)";="(0.000514)";="(0.000511)";="";="(0.000619)";="(0.000520)";="(0.000519)"
="Sales Volatility";="";="0.0592";="0.0313";="0.0297";="";="0.0588";="0.0661";="0.0666";="";="-0.0175";="-0.0466";="-0.0450"
="";="";="(0.268)";="(0.200)";="(0.200)";="";="(0.291)";="(0.236)";="(0.236)";="";="(0.266)";="(0.206)";="(0.206)"
="Sales Volatility X Labor Market Flexibility";="";="-0.230";="-0.0789";="-0.0771";="";="-0.140";="-0.0684";="-0.0692";="";="-0.0984";="0.0469";="0.0447"
="";="";="(0.371)";="(0.260)";="(0.259)";="";="(0.373)";="(0.278)";="(0.278)";="";="(0.368)";="(0.263)";="(0.264)"
="Contractibility X Rule of Law";="";="0.0532";="-0.0366";="-0.0349";="";="0.0471";="-0.0443";="-0.0413";="";="0.0567";="-0.0462";="-0.0416"
="";="";="(0.0675)";="(0.0459)";="(0.0461)";="";="(0.0676)";="(0.0452)";="(0.0456)";="";="(0.0671)";="(0.0442)";="(0.0446)"
="Intermediation";="";="-0.0862";="0.0593";="0.0614";="";="-0.0912";="0.0513";="0.0540";="";="-0.0811";="0.0549";="0.0600"
="";="";="(0.125)";="(0.0747)";="(0.0744)";="";="(0.121)";="(0.0730)";="(0.0726)";="";="(0.120)";="(0.0727)";="(0.0724)"
="Intermediation X Rule of Law";="";="-0.262";="-0.387***";="-0.390***";="";="-0.276";="-0.398***";="-0.403***";="";="-0.296*";="-0.404***";="-0.413***"
="";="";="(0.177)";="(0.125)";="(0.125)";="";="(0.169)";="(0.118)";="(0.118)";="";="(0.169)";="(0.119)";="(0.119)"
="Constant";="0.248***";="0.509***";="0.314***";="0.314***";="0.223***";="0.491***";="0.323***";="0.323***";="0.239***";="0.528***";="0.344***";="0.344***"
="";="(0.0561)";="(0.109)";="(0.0863)";="(0.0863)";="(0.0506)";="(0.114)";="(0.0882)";="(0.0881)";="(0.0501)";="(0.115)";="(0.0902)";="(0.0901)"
="IO2007 Industry Clusters";="188";="183";="183";="183";="197";="192";="192";="192";="196";="191";="191";="191"
="Adj. R2";="0.172";="0.193";="0.195";="0.195";="0.169";="0.191";="0.195";="0.195";="0.169";="0.191";="0.195";="0.195"
="Observations";="118054";="31552";="91202";="91202";="123231";="32930";="95070";="95070";="123775";="33030";="95443";="95443"
