="Dependent Variable: Intrafirm Import Share"
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)";="(13)";="(14)"
="";="";="";="";="";="(0.128)";="";="";="";="(0.0858)";="";="";="";="(0.0860)";=""
="Intermediation X Rule of Law";="";="";="";="";="-0.249";="-0.271";="";="";="-0.443***";="-0.404***";="";="";="-0.440***";="-0.403***"
="";="";="";="";="";="(0.177)";="(0.172)";="";="";="(0.123)";="(0.119)";="";="";="(0.123)";="(0.119)"
="Constant";="0.426***";="0.315***";="0.507***";="0.507***";="0.574***";="0.635**";="0.315***";="0.347***";="0.392***";="0.686***";="0.314***";="0.347***";="0.392***";="0.764***"
="";="(0.0438)";="(0.0797)";="(0.0798)";="(0.0798)";="(0.112)";="(0.318)";="(0.0807)";="(0.0785)";="(0.103)";="(0.182)";="(0.0807)";="(0.0787)";="(0.103)";="(0.189)"
="Country-Year FE";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes";="Yes"
="Industry-Year FE";="No";="No";="No";="No";="No";="Yes";="No";="No";="No";="Yes";="No";="No";="No";="Yes"
="IO2007 Industry Clusters";="211";="209";="206";="206";="200";="210";="209";="209";="201";="210";="209";="209";="201";="210"
="Adj. R2";="0.157";="0.159";="0.146";="0.146";="0.190";="0.248";="0.160";="0.162";="0.196";="0.236";="0.160";="0.162";="0.195";="0.236"
="Observations";="128995";="128352";="34869";="34869";="34150";="36397";="125944";="109686";="97299";="104145";="126177";="109686";="97299";="104145"
