="Dependent Variable: Intrafirm Import Share"
="";="(1)";="(2)";="(3)";="(4)";="(5)";="(6)";="(7)";="(8)";="(9)";="(10)";="(11)";="(12)"
="Sales Volatility X Labor Market Flexibility";="";="-0.335";="-0.182";="-0.180";="";="-0.222";="-0.146";="-0.147";="";="-0.196";="-0.0269";="-0.0292"
="";="";="(0.378)";="(0.268)";="(0.268)";="";="(0.379)";="(0.285)";="(0.285)";="";="(0.375)";="(0.275)";="(0.276)"
="Contractibility X Rule of Law";="";="0.0467";="-0.0490";="-0.0474";="";="0.0413";="-0.0564";="-0.0535";="";="0.0507";="-0.0582";="-0.0542"
="";="";="(0.0680)";="(0.0464)";="(0.0467)";="";="(0.0682)";="(0.0460)";="(0.0463)";="";="(0.0680)";="(0.0450)";="(0.0454)"
="Intermediation";="";="-0.0326";="0.0671";="0.0691";="";="-0.0501";="0.0582";="0.0607";="";="-0.0385";="0.0602";="0.0645"
="";="";="(0.124)";="(0.0795)";="(0.0792)";="";="(0.119)";="(0.0772)";="(0.0768)";="";="(0.117)";="(0.0765)";="(0.0761)"
="Intermediation X Rule of Law";="";="-0.287";="-0.379***";="-0.382***";="";="-0.305*";="-0.398***";="-0.402***";="";="-0.324*";="-0.398***";="-0.406***"
="";="";="(0.180)";="(0.130)";="(0.130)";="";="(0.172)";="(0.123)";="(0.123)";="";="(0.171)";="(0.124)";="(0.124)"
="Constant";="0.290***";="0.543***";="0.316***";="0.316***";="0.294***";="0.515***";="0.319***";="0.319***";="0.299***";="0.557***";="0.341***";="0.341***"
="";="(0.0654)";="(0.110)";="(0.0906)";="(0.0906)";="(0.0591)";="(0.115)";="(0.0924)";="(0.0923)";="(0.0593)";="(0.117)";="(0.0936)";="(0.0936)"
="IO2007 Industry Clusters";="183";="175";="176";="176";="195";="185";="186";="186";="193";="183";="184";="184"
="Adj. R2";="0.167";="0.199";="0.199";="0.198";="0.162";="0.195";="0.198";="0.198";="0.163";="0.197";="0.198";="0.198"
="Observations";="111778";="29664";="85376";="85376";="118290";="31196";="89577";="89577";="118493";="31142";="89653";="89653"
